DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Weapon Desc,LAT,LON,Closest Restaurant,Restaurant Address
10/22/2017,1400,Topanga,THEFT,,34.1911,-118.5644,Del Taco,"19644 Vanowen St, Reseda"
10/12/2017,900,West Valley,VANDALISM,,34.2029,-118.5513,Wendy's,"19317 Sherman Way, Reseda"
10/10/2017,1930,West Valley,ASSAULT,MACE/PEPPER SPRAY,34.1775,-118.5338,Subway,"5579 Reseda Blvd, Tarzana"
10/11/2017,1700,Harbor,VANDALISM,,33.8613,-118.2962,Inaba Ciao,"19301 Pacific Gateway Dr #120, Torrance"
10/3/2017,1050,Central,THEFT,,34.0563,-118.2374,Quiznos,"201 N Los Angeles St STE 22, Los Angeles"
10/6/2017,800,Topanga,BURGLARY,,34.1544,-118.6058,Chipotle Mexican Grill,"5430 Topanga Canyon Blvd, Woodland Hills"
10/24/2017,30,Southwest,BRANDISH WEAPON,REVOLVER,34.0109,-118.3089,,
10/22/2017,145,N Hollywood,ROBBERY,HAND GUN,34.1427,-118.3908,,
10/16/2017,1850,West Valley,VIOLATION OF,,34.1557,-118.4697,,
10/15/2017,1300,Hollenbeck,BURGLARY,,34.0638,-118.1785,,
10/26/2017,2200,Harbor,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.7958,-118.2975,,
10/29/2017,1138,Hollenbeck,BUNCO,,34.0437,-118.2098,,
10/1/2017,1200,Topanga,UNAUTHORIZED COMPUTER ACCESS,,34.1857,-118.5622,,
10/17/2017,1530,77th Street,VEHICLE,,33.9747,-118.2739,,
10/21/2017,2345,Rampart,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0569,-118.2689,,
10/23/2017,100,Olympic,CRIMINAL THREATS - NO WEAPON DISPLAYED,SIMULATED GUN,34.0817,-118.30799999999999,,
10/8/2017,2100,Southwest,BATTERY,ROCK/THROWN OBJECT,34.0074,-118.285,,
10/25/2017,730,Hollenbeck,CHILD,,34.0457,-118.21799999999999,,
10/9/2017,1430,Topanga,VANDALISM,,34.1847,-118.5928,,
10/31/2017,230,Mission,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.2337,-118.4632,,
10/20/2017,1100,Newton,BURGLARY,,34.0286,-118.2592,,
10/31/2017,1745,Hollenbeck,ASSAULT,UNKNOWN WEAPON/OTHER WEAPON,34.0243,-118.2198,,
10/19/2017,1600,N Hollywood,VEHICLE,,34.1586,-118.3877,,
10/2/2017,1800,Southeast,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9433,-118.2462,,
10/7/2017,2200,Hollenbeck,ASSAULT,UNKNOWN WEAPON/OTHER WEAPON,34.0426,-118.2073,,
10/12/2017,100,Olympic,THEFT,,34.0598,-118.3009,,
10/20/2017,1916,Van Nuys,SHOPLIFTING,,34.1576,-118.43799999999999,,
10/22/2017,5,Van Nuys,RAPE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.194,-118.4334,,
10/3/2017,200,Southeast,VEHICLE,,33.955999999999996,-118.2812,,
10/5/2017,1300,Hollywood,THEFT,,34.113,-118.3867,,
10/19/2017,345,Northeast,BURGLARY,,34.12,-118.1893,,
10/9/2017,555,77th Street,LEWD CONDUCT,,33.9806,-118.3024,,
10/16/2017,2215,Hollenbeck,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0781,-118.2181,,
10/7/2017,2200,Newton,VEHICLE,,34.003,-118.2499,,
10/13/2017,1630,Harbor,VANDALISM,,33.7252,-118.2946,,
10/27/2017,1400,Southeast,VEHICLE,,33.9266,-118.2604,,
10/11/2017,1035,Olympic,VANDALISM,,34.0463,-118.2864,,
10/3/2017,1930,Hollenbeck,BURGLARY,,34.0648,-118.2233,,
10/4/2017,1630,N Hollywood,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.1813,-118.4052,,
10/30/2017,2230,Wilshire,THEFT,,34.0623,-118.3471,,
10/1/2017,1,Hollenbeck,VANDALISM,UNKNOWN FIREARM,34.0831,-118.2086,,
10/15/2017,2230,Olympic,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0636,-118.3047,,
10/12/2017,1700,Pacific,VANDALISM,,33.9952,-118.4772,,
10/20/2017,2000,West Valley,ASSAULT,SEMI-AUTOMATIC PISTOL,34.193000000000005,-118.5546,,
10/1/2017,200,Hollywood,BURGLARY,,34.093,-118.3046,,
10/16/2017,315,Hollywood,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0987,-118.3337,,
10/6/2017,1800,77th Street,BURGLARY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9829,-118.3309,,
10/6/2017,1600,Central,VANDALISM,,34.0461,-118.2476,,
10/20/2017,2100,Van Nuys,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.1785,-118.4422,,
10/22/2017,1730,Southwest,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0324,-118.2776,,
10/20/2017,600,Foothill,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT,34.2717,-118.4096,,
10/28/2017,1150,77th Street,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9708,-118.2783,,
10/3/2017,1300,Pacific,THEFT,,33.986,-118.4517,,
10/14/2017,2130,West Valley,THEFT,,34.1847,-118.5441,,
10/9/2017,5,77th Street,ROBBERY,TIRE IRON,33.967,-118.2739,,
10/28/2017,2330,West LA,ASSAULT,OTHER KNIFE,34.0601,-118.4468,,
10/26/2017,1,West LA,CHILD,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0536,-118.4416,,
10/4/2017,950,Wilshire,VANDALISM,,34.0429,-118.3403,,
10/3/2017,2015,Hollywood,THEFT,,34.098,-118.3645,,
10/8/2017,1900,77th Street,BURGLARY,,33.9632,-118.2803,,
10/30/2017,1200,West Valley,OTHER MISCELLANEOUS CRIME,,34.2121,-118.5118,,
10/3/2017,1330,N Hollywood,THEFT,,34.2012,-118.4138,,
10/18/2017,1245,77th Street,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT,33.9855,-118.287,,
10/7/2017,2200,Wilshire,BURGLARY,,34.0871,-118.3742,,
10/5/2017,1430,77th Street,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT,33.9874,-118.2827,,
10/11/2017,2200,Hollywood,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0981,-118.3615,,
10/31/2017,1100,Van Nuys,VEHICLE,,34.1776,-118.4485,,
10/26/2017,2300,Mission,BURGLARY,,34.3115,-118.4388,,
10/23/2017,2200,Mission,BURGLARY,,34.3086,-118.4317,,
10/5/2017,1730,Hollywood,THEFT,,34.1004,-118.3414,,
10/22/2017,1430,Southeast,THEFT,UNKNOWN WEAPON/OTHER WEAPON,33.9472,-118.2739,,
10/5/2017,1315,Hollywood,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0908,-118.3157,,
10/26/2017,1014,Pacific,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.9573,-118.3962,,
10/22/2017,1445,Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,VERBAL THREAT,33.7334,-118.29899999999999,,
10/30/2017,1045,Foothill,PEEPING TOM,,34.2602,-118.3281,,
10/24/2017,1330,Hollenbeck,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0835,-118.2004,,
10/14/2017,2030,Southwest,VEHICLE,,34.0037,-118.2948,,
10/25/2017,1330,Hollenbeck,THEFT,,34.0373,-118.1997,,
10/29/2017,2010,Harbor,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.7913,-118.2616,,
10/3/2017,440,Central,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0587,-118.23299999999999,,
10/1/2017,1500,N Hollywood,CHILD,,34.21,-118.4229,,
10/25/2017,200,Southwest,BURGLARY,,34.0219,-118.3133,,
10/24/2017,1800,Newton,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0039,-118.2717,,
10/27/2017,955,Central,BATTERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0435,-118.2427,,
10/8/2017,2000,Olympic,BURGLARY,,34.0608,-118.2842,,
10/5/2017,1200,Mission,VANDALISM,,34.2283,-118.4633,,
10/29/2017,415,Southeast,ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",33.931,-118.2826,,
10/11/2017,1645,Hollenbeck,ASSAULT,CLUB/BAT,34.0434,-118.1954,,
10/15/2017,1725,Rampart,ROBBERY,KITCHEN KNIFE,34.0596,-118.2749,,
10/11/2017,2300,N Hollywood,VEHICLE,,34.1478,-118.4071,,
10/8/2017,815,N Hollywood,VEHICLE,,34.2012,-118.4073,,
10/17/2017,1945,Wilshire,BURGLARY,,34.0817,-118.3237,,
10/29/2017,1530,Hollenbeck,THEFT,,34.0895,-118.1708,,
10/9/2017,1000,Topanga,ASSAULT,,34.1992,-118.5873,,
10/7/2017,1800,Northeast,BURGLARY,,34.0726,-118.2447,,
10/13/2017,1515,77th Street,OTHER MISCELLANEOUS CRIME,,33.961,-118.2673,,
10/19/2017,1200,Topanga,BUNCO,,34.1683,-118.5787,,
