ARREST_DATE,PD_DESC,OFNS_DESC,AGE_GROUP,PERP_SEX,PERP_RACE,Latitude,Longitude
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,WHITE HISPANIC,40.73166766,-73.98941509
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,18-24,M,WHITE HISPANIC,40.86432814,-73.86840576
10/31/14,"MURDER,UNCLASSIFIED",MURDER & NON-NEGL. MANSLAUGHTER,25-44,F,BLACK,40.67111083,-73.91356336
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,18-24,F,BLACK,40.64886713,-73.9508219
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.71711539,-73.92042627
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,25-44,M,BLACK,40.68114496,-73.95566904
10/31/14,AGGRAVATED HARASSMENT 2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,<18,F,BLACK,40.83278221,-73.91388093
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.82867546,-73.94398972
10/31/14,"ASSAULT 2,1,PEACE OFFICER",FELONY ASSAULT,25-44,M,WHITE HISPANIC,40.80401295,-73.87833183
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,18-24,M,BLACK,40.81211597,-73.95516998
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,25-44,F,BLACK,40.89797182,-73.85192069
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.83778162,-73.91945797
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,WHITE HISPANIC,40.73166766,-73.98941509
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,18-24,M,WHITE HISPANIC,40.73166766,-73.98941509
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,WHITE,40.7621686,-73.92578356
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.86603508,-73.89193542
10/31/14,SEXUAL ABUSE 1,SEX CRIMES,18-24,M,BLACK,40.83732351,-73.91983076
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,25-44,M,BLACK,40.8257347,-73.91892695
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.76039192,-73.9972725
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,WHITE,40.61301423,-74.0007362
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,45-64,M,BLACK,40.87161338,-73.89919403
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,45-64,M,WHITE,40.74472247,-73.90294077
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,25-44,M,BLACK,40.58618048,-73.98823924
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,<18,M,BLACK,40.69030077,-73.98443465
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,25-44,F,BLACK,40.79295862,-73.96560563
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.68044287,-73.95035876
10/31/14,AGGRAVATED HARASSMENT 2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,<18,F,BLACK,40.83278221,-73.91388093
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,WHITE HISPANIC,40.62556333,-74.07550839
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.68004873,-73.77590919
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,F,WHITE HISPANIC,40.71241324,-74.00989579
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,18-24,M,WHITE HISPANIC,40.72629309,-73.73476085
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,45-64,M,BLACK,40.80130351,-73.96881595
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,45-64,M,WHITE HISPANIC,40.80130351,-73.96881595
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,45-64,M,BLACK,40.67141166,-73.88151172
