ARREST_DATE,PD_DESC,OFNS_DESC,AGE_GROUP,PERP_SEX,PERP_RACE,Latitude,Longitude,Closest Restaurant,Restaurant Address
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,WHITE HISPANIC,40.73166766,-73.98941509,Chick-fil-A,"5 University Pl, New York"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,18-24,M,WHITE HISPANIC,40.86432814,-73.86840576,McDonald's,"2516 White Plains Rd, The Bronx"
10/31/14,"MURDER,UNCLASSIFIED",MURDER & NON-NEGL. MANSLAUGHTER,25-44,F,BLACK,40.67111083,-73.91356336,KFC,"1667 Pitkin Ave, Brooklyn"
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,18-24,F,BLACK,40.64886713,-73.95082190000001,Burger King,"2848 Church Ave, Brooklyn"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.71711539,-73.92042627,Popeyes Louisiana Kitchen,"259 Vandervoort Ave, Brooklyn"
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,25-44,M,BLACK,40.68114496,-73.95566904,Popeyes Louisiana Kitchen,"1153 Fulton St, Brooklyn"
10/31/14,AGGRAVATED HARASSMENT 2,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,<18,F,BLACK,40.83278221,-73.91388093,Kennedy fried chicken 253,"253 E 167th St, The Bronx"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.82867546,-73.94398972,Taco Bell,"3645 Broadway, New York"
10/31/14,"ASSAULT 2,1,PEACE OFFICER",FELONY ASSAULT,25-44,M,WHITE HISPANIC,40.80401295,-73.87833183,McDonald's,"875 Garrison Ave, The Bronx"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,18-24,M,BLACK,40.81211597,-73.95516998,McDonald's,"354 W 125th St, New York"
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,25-44,F,BLACK,40.89797182,-73.85192069,Kennedy's Fried Chicken & Pizza,"4400 White Plains Rd, The Bronx"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.83778162,-73.91945797,Coffee cosina,"1350 Jerome Ave, The Bronx"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,WHITE HISPANIC,40.73166766,-73.98941509,Chick-fil-A,"5 University Pl, New York"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,18-24,M,WHITE HISPANIC,40.73166766,-73.98941509,Chick-fil-A,"5 University Pl, New York"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,WHITE,40.762168599999995,-73.92578356,Broadway Shish Kabob Cart,"Broadway & 32nd Street, Astoria"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.86603508,-73.89193542,Texas Chicken & Burgers,"32 E Kingsbridge Rd, The Bronx"
10/31/14,SEXUAL ABUSE 1,SEX CRIMES,18-24,M,BLACK,40.83732351,-73.91983076,Coffee cosina,"1350 Jerome Ave, The Bronx"
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,25-44,M,BLACK,40.8257347,-73.91892695,Checkers,"260 E 161 St, The Bronx"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.76039192,-73.9972725,Famous Halal Food (Food Truck),"501-513 W 45th St, New York"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,WHITE,40.61301423,-74.0007362,Subway,"1864 86th St, Brooklyn"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,45-64,M,BLACK,40.87161338,-73.89919403,McDonald's,"2630 Jerome Ave, The Bronx"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,45-64,M,WHITE,40.74472247,-73.90294077,Jollibee,"62-29 Roosevelt Ave, Woodside"
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,25-44,M,BLACK,40.58618048,-73.98823924,Chipotle Mexican Grill,"2940 Cropsey Ave, Brooklyn"
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,<18,M,BLACK,40.69030077,-73.98443465,Fulton Hot Dog King,"472 Fulton St, Brooklyn"
10/31/14,"ASSAULT 2,1,UNCLASSIFIED",FELONY ASSAULT,25-44,F,BLACK,40.79295862,-73.96560563,Chipotle Mexican Grill,"805 Columbus Ave, New York"
10/31/14,ASSAULT 3,ASSAULT 3 & RELATED OFFENSES,25-44,M,BLACK,40.68044287,-73.95035876,McDonald's,"1275 Fulton St, Brooklyn"
